source,window,flow_key,packet_count,total_bytes,duration_s,bytes_per_sec,mean_payload_len,std_payload_len,min_payload_len,max_payload_len,mean_iat,std_iat,min_iat,max_iat,burst_count,upload_ratio,label
browse_session2,0,5t:142.251.220.110:443-172.17.93.240:58049/17,15,8369,0.1202,69611.86,557.93,528.37,32,1258,0.008587,0.011812,0.0,0.038574,1,0.0,web
browse_session2,0,5t:142.251.43.35:443-172.17.93.240:61902/17,343,422479,0.5066,833986.92,1231.72,163.35,32,1258,0.001481,0.00286,0.0,0.02761,1,0.0,web
browse_session2,0,5t:142.251.221.110:443-172.17.93.240:59905/17,12,9735,1.6019,6077.0,811.25,537.84,32,1258,0.145631,0.421623,0.0,1.47691,2,0.0,web
browse_session2,0,5t:172.17.93.240:49785-172.217.24.206:443/17,16,7264,0.3453,21034.4,454.0,515.47,32,1258,0.023023,0.036754,0.0,0.113783,3,0.0,web
browse_session2,0,cid:f3aa7214382dd45c,5,582,0.21,2771.64,116.4,150.31,39,417,0.052496,0.081629,0.000296,0.193474,2,1.0,data
browse_session2,0,5t:142.250.77.131:443-172.17.93.240:52482/17,14,8200,0.2731,30031.07,585.71,553.89,32,1258,0.021004,0.045633,0.0,0.175036,2,0.0,web
browse_session3,0,5t:142.250.67.3:443-172.17.93.240:53270/17,17,10773,0.4406,24449.15,633.71,522.47,32,1258,0.027539,0.068398,0.0,0.28533,2,0.0,web
browse_session3,0,cid:f7c494be6e115e35,12,3454,0.3935,8777.85,287.83,447.92,39,1258,0.035772,0.077925,0.000157,0.278646,2,1.0,web
browse_session3,0,5t:142.251.223.238:443-172.17.93.240:59929/17,14,7989,0.1498,53336.18,570.64,544.9,30,1258,0.011522,0.022201,0.0,0.081738,1,0.0,web
browse_session3,0,cid:ed85aa90d7ddd641,12,2186,0.1478,14790.26,182.17,340.23,39,1258,0.013436,0.023084,0.000173,0.081291,1,1.0,data
browse_session3,0,5t:172.17.93.240:54396-198.202.211.1:443/17,16,9143,0.7834,11670.89,571.44,513.05,31,1208,0.052227,0.149453,0.0,0.600116,3,0.0,web
browse_session3,0,5t:104.18.160.117:443-172.17.93.240:64884/17,240,254703,0.4647,548137.46,1061.26,329.33,31,1208,0.001944,0.010962,0.0,0.161978,2,0.0,web
browse_session3,0,5t:104.18.160.117:443-172.17.93.240:58633/17,25,15369,1.2515,12280.86,614.76,506.13,32,1208,0.052144,0.197151,0.0,0.98556,3,0.0,web
browse_session3,1,5t:104.18.160.117:443-172.17.93.240:58633/17,117,132403,0.1176,1125556.72,1131.65,236.48,31,1208,0.001014,0.002903,0.0,0.02885,1,0.0,web
browse_session3,2,5t:104.18.160.117:443-172.17.93.240:58633/17,540,608197,4.2747,142278.81,1126.29,252.41,32,1208,0.007931,0.068393,0.0,1.086211,8,0.0,web
